#TERRAIN
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17,14,14,14,14,14,14,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,17,15,15,15,15,15,15,12,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0

#OBJECTS
# ID,tile x,tile y
19,4,4       # bed (Tucked into the top-left of the room)
22,4,5       # rug (Beside the bed)
24,6,3       # drawer (Against the back wall)
20,8,3       # desk (Next to drawer)
21,8,4       # chair (Tucked in at desk)
25,9,8       # plant-indoor (Top-right corner)
23,6,9       # rug-2 (Bottom center floor tile of the room)

#HITBOXES
rug,7,10
rug,6,10
rug,4,10
rug,3,10
rug,5,10
chair,8,4
drawer,6,4
